x,y,U,V,p,patch
0.59525,-0.046,0.0,0.0,-223.08,foil
0.83956,-0.02175,0.0,0.0,-14.317,foil
0.78894,-0.027375,0.0,0.0,-167.15,foil
0.50431,-0.052625,0.0,0.0,-320.83,foil
0.73175,0.0335,0.0,0.0,-125.79,foil
0.91869,0.012125,0.0,0.0,112.31,foil
0.10456,-0.0475,0.0,0.0,-567.41,foil
0.92263,-0.011625,0.0,0.0,103.59,foil
0.22606,0.058625,0.0,0.0,-559.87,foil
0.26394,0.05975,0.0,0.0,-663.44,foil
0.18856,-0.056625,0.0,0.0,-490.28,foil
0.61681,-0.04425,0.0,0.0,-254.31,foil
0.084875,0.044,0.0,0.0,-508.54,foil
0.17525,0.05575,0.0,0.0,-749.92,foil
0.33013,-0.059875,0.0,0.0,-707.3,foil
0.78725,0.027625,0.0,0.0,-38.283,foil
0.9335,0.01025,0.0,0.0,106.41,foil
0.48856,-0.053625,0.0,0.0,-324.0,foil
0.34962,0.0595,0.0,0.0,-498.9,foil
0.25419,0.0595,0.0,0.0,-615.82,foil
0.33481,-0.05975,0.0,0.0,-436.14,foil
0.024125,0.025625,0.0,0.0,-305.66,foil
0.64025,0.04225,0.0,0.0,-273.93,foil
0.86975,0.018125,0.0,0.0,-13.467,foil
0.022062,-0.02475,0.0,0.0,-201.43,foil
0.55625,0.049,0.0,0.0,-412.79,foil
0.54069,0.05025,0.0,0.0,-214.05,foil
0.17881,-0.056,0.0,0.0,-711.4,foil
0.011188,-0.017875,0.0,0.0,179.52,foil
